bucket,subtype,n,det_ftv_mae_ml,mc_mean_ftv_mae_ml,raw_90_coverage,conformal_90_coverage,raw_width90_ml,conformal_width90_ml,crps,note
T0->T1,HR+/HER2+,128,3.080695178058383,3.82604093502523,0.859375,0.9140625,16.1120724400999,19.324521378968175,2.629664795515287,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T1,HR+/HER2-,312,4.212427563924171,4.720314206394158,0.8910256410256411,0.9134615384615384,16.536175548151224,19.7485458538389,3.5704005172353552,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T1,HR-/HER2+,57,4.359421067605392,5.133905954094317,0.8070175438596491,0.8771929824561403,17.42798314260614,20.635607866868064,3.7318450779748122,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T1,TNBC,261,4.717415222553979,5.166829628163035,0.8659003831417624,0.8850574712643678,16.314273599410445,19.522927357527642,3.985033385510572,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,HR+/HER2+,128,4.092526286213713,4.59043878834434,0.9140625,0.921875,18.71908451137249,20.34524677118806,3.4780200969354045,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,HR+/HER2-,312,4.404649629138784,4.800911768252033,0.8942307692307693,0.9038461538461539,18.451524167333968,20.07637068724191,3.657207734768416,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,HR-/HER2+,57,7.385817171151399,7.6154129254064005,0.8245614035087719,0.8421052631578947,18.950761596027366,20.57110228383058,6.562028041922638,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T2,TNBC,261,4.763169194583162,5.29499128548594,0.89272030651341,0.9003831417624522,19.184637957198426,20.809231747499588,4.014549843835603,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T3,HR+/HER2+,128,3.289231551446745,4.90291977454915,0.90625,0.921875,19.588431596840792,22.760154527078328,3.1297210313334003,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T3,HR+/HER2-,312,4.492034021830301,5.235347252420384,0.8685897435897436,0.8942307692307693,18.969353751650683,22.1397380852776,3.770381261762433,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T3,HR-/HER2+,57,6.703864762124195,7.51869337208555,0.9122807017543859,0.9298245614035088,19.075310021420957,22.247417887525923,6.009343891716176,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T0->T3,TNBC,261,4.9965721654934425,5.85546550952978,0.8659003831417624,0.89272030651341,19.328561782227645,22.49887297580987,4.255507646141935,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T2,HR+/HER2+,128,4.014205828167995,4.611799512354093,0.8828125,0.890625,17.427365279560302,20.50683814063553,3.503017989587654,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T2,HR+/HER2-,312,3.843282765701512,4.3190911824145,0.9038461538461539,0.9230769230769231,17.683042962184388,20.77077509793544,3.2289662964658836,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T2,HR-/HER2+,57,6.577213421136208,6.698286370863359,0.8421052631578947,0.8421052631578947,18.05294705826259,21.12007125720067,5.61198606896858,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T2,TNBC,261,4.6561585880768055,5.2592763021929585,0.8735632183908046,0.89272030651341,18.60023632530067,21.680242458687168,3.9990476227592326,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T3,HR+/HER2+,128,3.6095754691580835,5.503907614464429,0.8671875,0.90625,19.642784057326175,25.039132191680253,3.5867108936834233,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T3,HR+/HER2-,312,4.728071372628383,5.521131628613645,0.8589743589743589,0.9038461538461539,20.041400783266205,25.43772354494582,3.957731639056814,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T3,HR-/HER2+,57,7.526302717936182,8.166490012541948,0.8771929824561403,0.8947368421052632,21.265157144859025,26.661383757456477,6.457493402392458,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T1->T3,TNBC,261,5.041070797733072,6.06499694093235,0.8697318007662835,0.896551724137931,20.45863861614531,25.85488438488174,4.252815010382744,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T2->T3,HR+/HER2+,128,3.148298077533439,5.0846481762488525,0.875,0.9140625,19.48375422954909,24.32902773466772,3.185643427221516,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T2->T3,HR+/HER2-,312,4.523408562002545,5.389792794503704,0.8685897435897436,0.9038461538461539,19.424562769358356,24.26937603215021,3.779281036160534,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T2->T3,HR-/HER2+,57,5.9374717534767605,6.406993724464694,0.8421052631578947,0.9122807017543859,19.252834112743002,24.098027348560056,4.56448486139574,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
T2->T3,TNBC,261,5.029177459609072,6.146391289531568,0.8467432950191571,0.8888888888888888,19.96102575928315,24.805165203243646,4.3764346776673335,Post hoc subtype stratum from the latest retained full-cohort MC rollout; no subgroup-specific residual pool was fit.
