collection,model,model_display,n,mc_mean_ftv_mae_ml,mc_median_ftv_mae_ml,mc_sample_abs_err_ml,crps,raw_coverage90,raw_width90_ml,conformal_width90_ml,mc_swd_mm,mc_chamfer_mm,mc_dice
ACRIN-6698,bio_ftv010_alive000,bio_ftv010_alive000,202,5.241778703765658,3.8714884640131104,7.921908370201733,3.1252055828718364,0.8762376237623762,24.11127102760047,27.08044482654564,1.1617603331278412,3.344780653308345,0.05390703921288133
ACRIN-6698,bio_ftv010_alive002,bio_ftv010_alive002,202,5.6466349385195995,4.110276071685229,8.191855506911653,3.341323107319557,0.8861386138613861,24.07035537623613,28.4114258653838,1.1507267447780192,3.3287450204484057,0.05463913904248915
ACRIN-6698,bio_ftv020_alive005,Endpoint-calibrated,202,5.739358405278887,4.067938416787749,8.086370675117703,3.300175570616192,0.900990099009901,23.436094134377395,26.965181003779303,1.1542409824302895,3.331179346053956,0.054474253522311826
ACRIN-6698,endpoint_full_k8,endpoint_full_k8,202,5.768363651399203,4.079130480551153,7.824652012771128,3.3218546049907887,0.8861386138613861,24.155608283176843,28.697541221732486,1.1578961344951222,3.33486939279651,0.0547577972106936
ACRIN-6698,feature_all_k8,feature_all_k8,202,5.4689407593555455,3.8833449859617297,7.870418360542784,3.1710931918653,0.8712871287128713,22.803355597765414,26.977895849660438,1.124789821865911,3.3062580712847685,0.05563036021059642
ACRIN-6698,feature_pe_ser_k8,feature_pe_ser_k8,202,5.59609492917593,3.971334659647013,7.915050421830146,3.243219091222954,0.8762376237623762,23.67846226000606,28.20114023120762,1.120080167199595,3.298318763196524,0.0552431720480574
ACRIN-6698,feature_volume_k8,feature_volume_k8,202,5.397238582664199,3.7749457418338226,7.626044085213096,3.092506195781617,0.8910891089108911,23.709394491670825,26.982520370962852,1.132083156035414,3.309736248530104,0.0560175299994493
ACRIN-6698,hybrid_a25_k8,hybrid_a25_k8,202,5.431422449059282,3.9098482917095816,7.745439315425807,3.1634783755955556,0.8910891089108911,23.15159779520045,27.497874565471918,1.1365958620498668,3.3118868317506442,0.05475520065749986
ACRIN-6698,hybrid_a50_bio_k8,Hybrid-bio k=8,202,4.5537812475912185,3.658255460770154,6.721672043526994,2.9255488112823755,0.8811881188118812,18.60827579063715,21.779706569139183,1.1315519655083501,3.3053841477707926,0.05622079070241789
ACRIN-6698,hybrid_a50_k8,hybrid_a50_k8,202,5.611235560373084,3.9391763407021276,8.148347349005368,3.2486501780829813,0.8762376237623762,24.20158596465979,29.18606205621993,1.1483633123118258,3.326123568688043,0.054830621508649834
ACRIN-6698,hybrid_a75_bio_k8,hybrid_a75_bio_k8,202,4.615928826114116,3.644736495121903,6.571323179956392,2.903769774838611,0.8811881188118812,18.76647119871235,22.108291991594104,1.1257811457068705,3.3027439273484696,0.055755562646301576
ACRIN-6698,hybrid_a75_k8,hybrid_a75_k8,202,5.560110736366852,3.9813740398034265,7.930867313941777,3.217998446245,0.8910891089108911,23.96992140504274,29.841101881272742,1.1528585114377705,3.3283078848447962,0.05499304100425134
ACRIN-6698,no_edges,No edges,202,5.184978174848164,3.7632771512087415,7.488405215538832,3.0685148210806146,0.8613861386138614,23.269703060936294,26.89821695893352,1.1528298117041536,3.3306172036352284,0.054847716717662906
ACRIN-6698,original_graph,Original graph,202,13.259075895040134,8.382185125746275,16.78294403372738,6.394730900469281,0.7524752475247525,56.39299431043007,59.035767084813614,1.260884378869201,3.492595773843468,0.05039773634073912
ACRIN-6698,radial_bio_k16,radial_bio_k16,202,4.596005401420374,3.739019127351764,6.648321166917636,2.997280161853075,0.900990099009901,20.538289077761416,23.923864514996843,1.1316847607820124,3.3129813594718613,0.05516599763609582
ACRIN-6698,radial_bio_k4,radial_bio_k4,202,4.675775799142454,3.6872956703173005,6.869137447850129,2.9534309296163674,0.8960396039603961,20.593422323487918,23.744623487063684,1.120868555998296,3.3030223212932235,0.05605173289670818
ACRIN-6698,radial_bio_k8,Radial-bio k=8,202,4.520750451264625,3.636629872922695,6.439781950603535,2.905349858904043,0.8712871287128713,19.295132656111385,22.53637048522971,1.124101715098701,3.306248539879085,0.05508015621584274
ACRIN-6698,radial_geo_k8,radial_geo_k8,202,4.5545211450276275,3.7728024033798078,6.559331444241956,3.0133142562952777,0.8762376237623762,19.146542718798994,22.940808024899606,1.1207043755800674,3.3044368422950834,0.05441167504890562
ACRIN-6698,radial_k8,Radial k=8,202,4.665416088491795,3.574505892289164,6.922820027698195,2.841881588675649,0.900990099009901,20.316885098597254,25.28660264337639,1.1206868587801442,3.300201766155162,0.055801616185279714
ACRIN-6698,spatial_k16,spatial_k16,202,5.699364564433389,4.3134833465310605,8.335735237156642,3.4480583677425494,0.8960396039603961,24.288448036418618,27.731668250614202,1.1488259083258452,3.3259314494779004,0.05405104753023565
ACRIN-6698,spatial_k4,spatial_k4,202,5.720510841205947,3.908912855553722,7.909988025915844,3.20974098442092,0.8811881188118812,24.17983882588097,29.859744887351013,1.152382454740772,3.3282001884897183,0.05446858067908104
ACRIN-6698,spatial_k4_bio,spatial_k4_bio,202,4.548621947952409,3.520300337670125,6.426074018914435,2.82014409167657,0.8712871287128713,19.130520417477417,22.681066527347912,1.1428185517973366,3.314381897867126,0.05526625506192182
ISPY2,bio_ftv010_alive000,bio_ftv010_alive000,556,8.05530153872057,6.8092741109142825,10.731888976062681,5.879025704526157,0.8741007194244604,23.90311964568021,26.866002566826758,1.233440452688125,3.554216696155567,0.0499208614028632
ISPY2,bio_ftv010_alive002,bio_ftv010_alive002,556,8.208014406521922,6.854293028041559,10.81706197394472,5.856427206775157,0.8812949640287769,25.07863189300962,29.402304821296173,1.2252443237875004,3.541950464068914,0.050263370650716795
ISPY2,bio_ftv020_alive005,Endpoint-calibrated,556,8.287868686703668,6.81165685294786,10.738926993727087,5.830517160627031,0.8669064748201439,24.782547687579992,28.306316990212792,1.2267095319123817,3.541075031724707,0.05028683098652602
ISPY2,endpoint_full_k8,endpoint_full_k8,556,8.300629055400718,6.82419630653742,10.684862294568564,5.844462217487014,0.8669064748201439,24.847387229843356,29.38568614377693,1.220483999183558,3.5383040441981057,0.050092448516862474
ISPY2,feature_all_k8,feature_all_k8,556,8.038203400015725,6.553374095156387,10.503312918791321,5.646366176852517,0.8741007194244604,24.464732610167303,28.637346474728204,1.1957118572475685,3.5145916662171564,0.05128998583362229
ISPY2,feature_pe_ser_k8,feature_pe_ser_k8,556,8.156955583265088,6.649638660661495,10.513132644424159,5.708832940334262,0.85431654676259,25.147353664429748,29.66899985000241,1.1909950597789825,3.5065878561830215,0.05130081266878584
ISPY2,feature_volume_k8,feature_volume_k8,556,7.894792150035919,6.535663058642873,10.2561006109918,5.5750950550880995,0.8669064748201439,24.19178978361692,27.464387639575623,1.2023152769972127,3.5181885758382374,0.05050664018904626
ISPY2,hybrid_a25_k8,hybrid_a25_k8,556,8.065295456051201,6.563878086268842,10.409595058986273,5.635235090643516,0.85431654676259,24.59288775243282,28.938938013010453,1.2090531411666219,3.5260959921653057,0.050345335433677495
ISPY2,hybrid_a50_bio_k8,Hybrid-bio k=8,556,5.931619212374414,5.1964826846312,8.035829826985648,4.387090797252484,0.8758992805755396,19.42254172946824,22.59299640536309,1.1862235107423282,3.5006272014917257,0.05160110619431824
ISPY2,hybrid_a50_k8,hybrid_a50_k8,556,7.977878750928572,6.583468455787728,10.481196605406641,5.632263060126025,0.8597122302158273,23.923459246025995,28.898808815696995,1.2166366075552717,3.5325744679386255,0.050586654993468504
ISPY2,hybrid_a75_bio_k8,hybrid_a75_bio_k8,556,6.288586338146159,5.3672800704970625,8.298248435990091,4.53351760323421,0.8633093525179856,19.979565533672204,23.320665063211994,1.193912363459805,3.506533464148588,0.05157666497793482
ISPY2,hybrid_a75_k8,hybrid_a75_k8,556,8.103430397444516,6.655701942808568,10.363730142614417,5.707588703615124,0.85431654676259,24.366746009777888,30.237113110083282,1.222849821316636,3.5357839261073782,0.050596920251328406
ISPY2,no_edges,No edges,556,7.097123347638088,5.959532659161882,9.324323033517876,5.105316674028674,0.8741007194244604,22.727023435765737,26.351345707317503,1.2299322987763308,3.5497458025896553,0.05022869320716248
ISPY2,original_graph,Original graph,556,15.98959927329188,11.534263024832194,19.545099539254917,9.065873491223641,0.7715827338129496,57.04581005564515,59.688561800457535,1.3420374372174577,3.715512681420104,0.046270523124828496
ISPY2,radial_bio_k16,radial_bio_k16,556,5.9787457123014365,5.385837607340647,8.312317063096366,4.546928398088689,0.8687050359712231,20.65837936193191,24.041453874960155,1.1975127981777232,3.5182431373425533,0.05061333346522053
ISPY2,radial_bio_k4,radial_bio_k4,556,6.4630743598317615,5.570095175587778,8.696735273065787,4.702077723228694,0.8723021582733813,21.289393089728677,24.437232061809127,1.193608691171847,3.5188813651378377,0.050553795580065834
ISPY2,radial_bio_k8,Radial-bio k=8,556,5.878394652298961,5.1514270459650175,8.053852617012856,4.331689296698163,0.8723021582733813,20.325648703826737,23.56494371752674,1.1956521302851033,3.5120911333199403,0.051249589054500125
ISPY2,radial_geo_k8,radial_geo_k8,556,6.123785765528476,5.403814593965392,8.328219697392166,4.530599140097476,0.8615107913669064,19.656458955149944,23.4483251430125,1.1951233872690885,3.516922245567363,0.050953267029504895
ISPY2,radial_k8,Radial k=8,556,6.830328399165439,5.813650079454071,9.083655638944172,4.942939256609333,0.8507194244604317,21.3336827067249,26.278641780673357,1.189394000358137,3.504811025299328,0.051093138360645184
ISPY2,spatial_k16,spatial_k16,556,8.129446612645623,6.800011842613511,10.775999585131633,5.823125578438763,0.8741007194244604,25.428873746294055,28.87086498070007,1.221651676750553,3.5328607237220875,0.05054032836700162
ISPY2,spatial_k4,spatial_k4,556,8.188722465138202,6.666360554931621,10.494556164896913,5.702325269886599,0.8579136690647482,24.675349646107385,30.35206815570898,1.2293409661530534,3.543714017705788,0.05031349849312686
ISPY2,spatial_k4_bio,spatial_k4_bio,556,6.073600340676796,5.291801240497262,8.25292879481265,4.447900224803518,0.8669064748201439,19.63797234391312,23.187541800123576,1.2058682811187567,3.5215986582963756,0.0504048506491459
